,Venue,Venue Latitude,Venue Longitude,Venue Category
39,buongiorno,52.35719153927261,4.795083989767674,Café
50,KEYF CAFE,52.351396397205285,4.7965994662101865,Café
59,buongiorno,52.35719153927261,4.795083989767674,Café
61,KEYF CAFE,52.351396397205285,4.7965994662101865,Café
67,IL Delfino Blu,52.351560254004774,4.7973788234034505,Italian Restaurant
76,Caffé Tostini,52.359925,4.783179,Café
88,Caffé Tostini,52.359925,4.783179,Café
105,Floor17,52.36801328462829,4.844100033738898,Restaurant
119,De Huiskamer van Rembrandt,52.364829865799344,4.8507188163412955,Restaurant
121,Bartack,52.36435714314565,4.850863131025757,Bar
123,Floor17,52.36801328462829,4.844100033738898,Restaurant
124,Restaurant DS,52.370630708193296,4.84345967800305,Restaurant
126,Zurich,52.36951084189358,4.851021111202159,Bar
128,Ice and Bites,52.369745752002295,4.8509969463185545,Pizza Place
133,"Café Knibbel, Knabbel, Knuisje",52.36986791978328,4.849386237065634,Bar
139,Cafe DS,52.370594,4.84372,Café
142,Bartack,52.36435714314565,4.850863131025757,Bar
143,Fashion’s Restaurant & Bar,52.35738794189885,4.84454676418801,Restaurant
145,Café Bardot,52.3594023150343,4.8519432957667465,Café
151,Fashion’s Restaurant & Bar,52.35738794189885,4.84454676418801,Restaurant
167,Restaurant DS,52.370630708193296,4.84345967800305,Restaurant
170,The Kitchen at Student Hotel,52.37214911738466,4.836109699791302,Restaurant
174,Cafe DS,52.370594,4.84372,Café
175,Co' Cos Keuken,52.37391287429401,4.841606963352261,Coffee Shop
192,Corner Bakery,52.35350544962117,4.840598239784223,Café
193,La bella Vita,52.35324362635691,4.840396477278242,Italian Restaurant
198,Caffènation,52.35480430326035,4.849351904199482,Coffee Shop
199,Foodbar 63 Graden,52.35276733958988,4.847958683967589,Italian Restaurant
201,Lokaal Van De Stad,52.35170605004509,4.846059488798338,Bar
202,Fashion’s Restaurant & Bar,52.35738794189885,4.84454676418801,Restaurant
217,Corner Bakery,52.35350544962117,4.840598239784223,Café
218,Grand Café Défilé,52.35483306073966,4.840714710609081,Bar
222,Helder,52.347995980752586,4.84747628307851,Restaurant
223,Lokaal Van De Stad,52.35170605004509,4.846059488798338,Bar
228,Lunchroom Grannies,52.350854,4.849708,Café
230,The Magpie,52.34942447808715,4.848860724751284,Bar
247,Coffeemania,52.35071957279821,4.832510424904748,Coffee Shop
252,Casa Sofia,52.35061,4.8325925,Coffee Shop
264,La bella Vita,52.35324362635691,4.840396477278242,Italian Restaurant
265,Atelier,52.342194744701324,4.844362973022882,Restaurant
267,Jefferson Bar Brasserie,52.340268653564976,4.844127484252273,Restaurant
268,Oliver's Crazy Kitchen,52.34077077041221,4.844394826065013,Italian Restaurant
276,Fashion’s Restaurant & Bar,52.35738794189885,4.84454676418801,Restaurant
290,Corner Bakery,52.35350544962117,4.840598239784223,Café
292,La bella Vita,52.35324362635691,4.840396477278242,Italian Restaurant
294,Restaurant Bureau,52.342917920531725,4.82907047682362,Restaurant
295,Starbucks,52.34108583212485,4.829249147137763,Coffee Shop
299,Restaurant Bureau,52.342917920531725,4.82907047682362,Restaurant
301,Starbucks,52.34108583212485,4.829249147137763,Coffee Shop
302,Bacchus - PwC,52.339323,4.822423,Café
364,bij paul,52.357767,4.901996,Coffee Shop
368,Casa Nostra,52.3554572948612,4.903159030133888,Italian Restaurant
370,Impero Romano,52.35678596829745,4.904640002755308,Italian Restaurant
373,De Ysbreeker,52.35747402372425,4.906681701164431,Restaurant
377,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
379,Little Collins,52.35584250396916,4.897892648357578,Restaurant
381,La Rive,52.35983906538689,4.9049005594358945,French Restaurant
384,Arles,52.35628677437768,4.89811517489653,French Restaurant
386,Amstel Bar & Brasserie,52.36001532958312,4.904962956008391,French Restaurant
388,Geflipt,52.357004,4.899704,Burger Joint
389,Spaghetteria,52.35349776449129,4.902465220123396,Italian Restaurant
391,Pepenero,52.35579,4.907731,Italian Restaurant
395,Fa. Pekelhaaring,52.35324516815201,4.9025551359212844,Italian Restaurant
399,Cafe Kees,52.355737,4.907496,Café
401,De Ruyschkamer,52.35704593762679,4.9092047780429615,Coffee Shop
402,Le Hollandais,52.355172416771154,4.9058418112151765,French Restaurant
405,Mangiassai,52.35730594550904,4.909443922353648,Italian Restaurant
408,Coffee Company,52.354822888370336,4.901138193095769,Coffee Shop
410,Bar Lempicka,52.360606789371666,4.904834265665871,Bar
412,Coffee Company,52.352713005808575,4.903000072198071,Coffee Shop
416,Café Sarphaat,52.35428567357222,4.899262557054114,Café
421,Café Bloemers,52.35546591187247,4.903334380738928,Café
427,Cafe Tapmarin,52.353433492261956,4.902369929675964,Bar
441,Little Collins,52.35584250396916,4.897892648357578,Restaurant
449,Zaza's,52.3561320701457,4.892238896403098,French Restaurant
451,Bar Mash,52.3560331111506,4.892803027620247,Bar
463,Boca's,52.354337,4.893737,Bar
465,TRUST,52.35622837698596,4.896198389492257,Café
466,The Butcher,52.35542697323084,4.892341010340515,Burger Joint
468,Arles,52.35628677437768,4.89811517489653,French Restaurant
475,De Tulp,52.35691295682923,4.891528907268176,Bar
476,Café Schilders,52.35525706343737,4.8932531116765645,Café
478,De Pilsvogel,52.35592798558107,4.892848320235201,Bar
484,Cafe Caron,52.357442594062086,4.888850122594896,French Restaurant
486,Lagunitas TapKabinet,52.35517206371819,4.893232734624111,Bar
490,De Pizzabakkers,52.35634901049651,4.89753088398226,Italian Restaurant
494,Scandinavian Embassy,52.353479,4.89424,Coffee Shop
498,Restaurant Sinne,52.35316670143806,4.894051742783802,Restaurant
500,La Boutique del Caffè Torrefazione,52.357389,4.88909,Café
503,Café Brecht,52.35960862527407,4.890242541640259,Bar
504,Walia Ibex,52.35745919569375,4.889885819567736,Bar
509,Pasta Pasta,52.354703930194326,4.890414432098538,Italian Restaurant
516,Graphite Amsterdam,52.35877617202892,4.89790678024292,Restaurant
521,La Storia della Vita,52.35954600295792,4.892148639877075,Italian Restaurant
522,De Kleine Parade,52.35614645322975,4.893778678971688,Café
524,Café Bozz,52.356640378069464,4.897812082346368,Café
529,Cafe Caron,52.357442594062086,4.888850122594896,French Restaurant
537,Café Brecht,52.35960862527407,4.890242541640259,Bar
547,SenT,52.35574438179687,4.888940644804844,French Restaurant
548,Tuinhuis Rijksmuseum,52.35932535011871,4.884879012665438,Coffee Shop
560,Back to Black,52.36102,4.888569,Coffee Shop
565,Auberge Jean & Marie,52.354804530900395,4.889264426413418,French Restaurant
567,Cafe De Wetering,52.36115325787267,4.888831421453769,Café
571,Locals,52.357547426408644,4.8889514765320525,Café
578,Bar Mash,52.3560331111506,4.892803027620247,Bar
580,Pasta Pasta,52.354703930194326,4.890414432098538,Italian Restaurant
588,The Butcher,52.35542697323084,4.892341010340515,Burger Joint
591,Cannibale Royale,52.353594346920424,4.887073935860933,Burger Joint
599,De Pilsvogel,52.35592798558107,4.892848320235201,Bar
610,Café Schilders,52.35525706343737,4.8932531116765645,Café
611,Trattoria That's Amore,52.361604449698575,4.891518098100221,Italian Restaurant
614,Lagunitas TapKabinet,52.35517206371819,4.893232734624111,Bar
618,Starbucks,52.35543240018347,4.890478608846849,Coffee Shop
621,De Kleine Parade,52.35614645322975,4.893778678971688,Café
626,Café De Groene Vlinder,52.35546848262224,4.893041195495206,Café
627,Hans & Grietje,52.361648566967816,4.887152181731106,Café
631,Cannibale Royale,52.353594346920424,4.887073935860933,Burger Joint
634,Sugo Pizza Al Taglio,52.353096,4.891235,Pizza Place
636,C.T. - Coffee & Coconuts,52.35271697637056,4.891495284090196,Coffee Shop
642,Auberge Jean & Marie,52.354804530900395,4.889264426413418,French Restaurant
645,Pasta Pasta,52.354703930194326,4.890414432098538,Italian Restaurant
654,SenT,52.35574438179687,4.888940644804844,French Restaurant
655,MangiAncora,52.351705690113526,4.891380480469969,Pizza Place
665,Restaurant Sinne,52.35316670143806,4.894051742783802,Restaurant
667,Volt,52.35140601080312,4.8912812096217335,Italian Restaurant
671,Boca's,52.354337,4.893737,Bar
674,Scandinavian Embassy,52.353479,4.89424,Coffee Shop
676,Cafe Caron,52.357442594062086,4.888850122594896,French Restaurant
690,Zaza's,52.3561320701457,4.892238896403098,French Restaurant
695,La Boutique del Caffè Torrefazione,52.357389,4.88909,Café
697,Bar Mash,52.3560331111506,4.892803027620247,Bar
699,De Pizzakamer,52.352505548525315,4.894799100251325,Pizza Place
701,Badeta Koffiebranders,52.352402548323894,4.894853120032352,Coffee Shop
707,Café Schilders,52.35525706343737,4.8932531116765645,Café
708,Renato's Pizzeria,52.35121,4.894477,Pizza Place
712,Lagunitas TapKabinet,52.35517206371819,4.893232734624111,Bar
714,De Pilsvogel,52.35592798558107,4.892848320235201,Bar
717,Walia Ibex,52.35745919569375,4.889885819567736,Bar
720,Starbucks,52.35543240018347,4.890478608846849,Coffee Shop
721,De Tulp,52.35691295682923,4.891528907268176,Bar
727,Locals,52.357547426408644,4.8889514765320525,Café
732,Little Collins,52.35584250396916,4.897892648357578,Restaurant
735,Boca's,52.354337,4.893737,Bar
738,Scandinavian Embassy,52.353479,4.89424,Coffee Shop
741,Restaurant Sinne,52.35316670143806,4.894051742783802,Restaurant
744,Arles,52.35628677437768,4.89811517489653,French Restaurant
753,Bar Mash,52.3560331111506,4.892803027620247,Bar
