Neighborhood,Bar,Burger Joint,Café,Coffee Shop,French Restaurant,Italian Restaurant,Music Venue,Pizza Place,Restaurant,Total
Nieuwe Kerk e.o.,8,3,4,9,1,1,2,0,5,33
Anjeliersbuurt Noord,16,0,4,3,0,7,0,1,1,32
Nieuwendijk Noord,8,3,3,7,4,2,2,0,3,32
Hemelrijk,7,3,4,6,3,2,2,0,4,31
Kop Zeedijk,6,3,3,10,2,2,2,0,3,31
Marnixbuurt Zuid,11,1,3,2,2,5,1,1,5,31
Anjeliersbuurt Zuid,13,0,7,1,1,5,1,1,2,31
Bellamybuurt Noord,8,3,5,5,0,5,0,2,3,31
Spuistraat Noord,6,2,4,8,2,1,2,0,5,30
Bellamybuurt Zuid,5,3,5,5,1,4,0,2,5,30
Langestraat e.o.,14,1,6,1,2,3,1,0,1,29
Da Costabuurt Zuid,6,2,5,5,2,4,1,1,3,29
Weesperbuurt,7,1,6,3,2,1,0,3,6,29
Leliegracht e.o.,12,0,5,1,2,5,0,1,2,28
Marnixbuurt Noord,9,0,4,4,0,7,1,2,1,28
Oude Kerk e.o.,7,3,5,5,4,1,2,0,1,28
Stationsplein e.o.,6,1,1,7,2,1,0,0,10,28
Leidsebuurt Noordwest,8,2,2,2,2,4,3,1,3,27
Passeerdersgrachtbuurt,11,1,2,2,2,4,1,1,3,27
Surinamepleinbuurt,4,0,5,2,2,5,1,2,5,26
Willibrordusbuurt,2,1,6,5,1,8,0,1,2,26
Borgerbuurt,6,2,6,5,0,4,0,0,3,26
Plantage,7,1,5,2,0,3,0,5,3,26
WG-terrein,5,1,6,5,1,4,0,1,3,26
Burgwallen Oost,8,3,2,5,3,1,1,0,2,25
Hercules Seghersbuurt,6,1,3,4,4,2,0,4,1,25
Valkenburg,7,1,4,3,0,2,0,4,3,24
Bloemgrachtbuurt,7,0,3,2,1,4,1,2,4,24
Concertgebouwbuurt,1,0,3,4,3,2,1,1,9,24
Da Costabuurt Noord,6,3,1,6,0,4,0,3,1,24
Van der Helstpleinbuurt,1,1,7,3,1,5,0,2,3,23
Marcanti,7,2,2,5,1,3,0,2,1,23
Hemonybuurt,2,1,3,4,4,6,0,1,2,23
Gerard Doubuurt,7,1,5,1,3,3,0,0,3,23
Leidsebuurt Zuidwest,9,0,3,2,1,2,3,0,3,23
Spiegelbuurt,6,2,3,2,1,3,2,0,4,23
Elandsgrachtbuurt,3,0,3,5,2,2,1,2,4,22
Planciusbuurt Noord,1,0,3,3,2,1,3,2,7,22
Vondelparkbuurt West,4,0,4,2,3,2,1,1,5,22
Leidsegracht Zuid,6,2,0,2,4,3,1,1,3,22
Diamantbuurt,7,0,3,4,1,3,0,1,2,21
Driehoekbuurt,9,0,2,4,0,4,1,0,1,21
Van Loonbuurt,2,2,2,4,3,4,0,0,4,21
Transvaalbuurt Oost,2,2,3,6,2,4,0,0,2,21
Museumplein,2,0,4,4,3,1,1,0,6,21
Haarlemmerbuurt Oost,7,0,8,1,1,2,1,0,1,21
Leidsegracht Noord,7,1,1,2,3,2,1,1,3,21
Oosterparkbuurt Zuidwest,2,1,3,5,1,6,0,1,1,20
Den Texbuurt,4,2,5,3,3,2,0,0,1,20
Frans Halsbuurt,4,2,6,3,3,2,0,0,0,20
Frederik Hendrikbuurt Noord,6,0,2,4,0,5,0,2,1,20
Sarphatiparkbuurt,4,1,4,3,2,2,0,2,2,20
Reguliersbuurt,1,2,2,2,3,6,0,1,3,20
Swammerdambuurt,1,0,4,3,3,6,0,1,2,20
Vondelpark West,3,0,2,1,3,4,1,2,4,20
Schinkelbuurt Noord,2,1,4,2,1,3,1,2,4,20
Gouden Bocht,1,2,2,2,3,5,0,0,4,19
Leidsebuurt Zuidoost,4,1,4,4,0,2,2,0,2,19
Scheldebuurt West,0,0,5,2,2,3,0,1,6,19
Leidsebuurt Noordoost,5,1,4,3,0,3,2,0,1,19
Cornelis Troostbuurt,0,1,2,4,3,3,0,4,2,19
Spaarndammerbuurt Zuidoost,0,0,2,2,1,1,3,3,6,18
Noordwestkwadrant Indische buurt Noord,4,1,1,4,1,2,0,1,4,18
Haarlemmerbuurt West,6,0,3,3,0,3,2,0,1,18
Rembrandtpleinbuurt,4,0,2,2,4,2,0,1,3,18
Zaagpoortbuurt,6,0,2,4,0,4,0,1,1,18
Felix Meritisbuurt,6,0,2,3,3,2,0,1,1,18
Vondelpark Oost,1,0,3,3,2,2,0,2,5,18
BG-terrein e.o.,4,1,3,2,1,3,0,0,4,18
Lizzy Ansinghbuurt,2,0,2,3,1,3,0,4,2,17
Vondelparkbuurt Oost,4,0,3,2,3,2,2,0,1,17
Noordwestkwadrant Indische buurt Zuid,4,1,1,4,1,2,0,1,3,17
Staatsliedenbuurt Noordoost,2,0,2,3,0,4,2,1,3,17
Linnaeusparkbuurt,3,1,1,3,4,1,1,0,3,17
Helmersbuurt Oost,5,0,3,2,1,2,1,0,3,17
Oosterdokseiland,5,0,0,2,2,1,0,0,7,17
Westergasfabriek,1,0,2,2,0,3,1,1,7,17
Planciusbuurt Zuid,3,0,3,3,0,2,2,1,3,17
Legmeerpleinbuurt,3,1,4,2,0,3,1,1,2,17
Kalverdriehoek,1,1,1,1,4,5,0,1,3,17
Johannnes Vermeerbuurt,1,1,2,1,6,0,1,0,4,16
Cornelis Schuytbuurt,1,0,3,1,2,4,0,1,4,16
Postjeskade e.o.,3,0,3,2,2,0,0,2,4,16
IJselbuurt Oost,4,0,3,4,0,2,0,2,1,16
Zuidas Zuid,0,1,2,4,2,3,0,0,4,16
Oosterparkbuurt Zuidoost,2,2,3,5,1,3,0,0,0,16
Begijnhofbuurt,3,0,2,2,3,2,0,1,3,16
Nes e.o.,4,0,2,3,2,1,1,0,3,16
Don Bosco,3,1,2,3,2,2,0,0,3,16
P.C. Hooftbuurt,1,0,2,4,2,1,1,0,5,16
Ecowijk,3,0,2,3,0,3,1,0,4,16
Transvaalbuurt West,1,1,1,2,2,4,0,1,3,15
Geuzenhofbuurt,5,2,2,2,0,3,0,1,0,15
Columbusplein e.o.,3,0,1,3,1,0,1,1,5,15
Kortenaerkwartier,6,2,1,0,0,4,0,1,1,15
Banpleinbuurt,1,0,1,0,2,5,0,1,5,15
Wielingenbuurt,1,0,3,1,2,3,0,1,4,15
Het Funen,2,0,3,1,1,2,1,0,5,15
Sarphatistrook,2,0,2,2,2,2,0,1,4,15
Scheldebuurt Oost,3,0,4,4,0,2,0,2,0,15
Dapperbuurt Noord,4,1,3,1,1,2,0,0,3,15
Kromme Mijdrechtbuurt,0,0,4,6,1,2,0,1,0,14
Groenmarktkadebuurt,2,0,0,5,0,1,0,3,3,14
Fannius Scholtenbuurt,3,0,2,3,0,2,1,0,3,14
Zuiderkerkbuurt,3,0,2,3,2,2,0,0,2,14
Lastage,2,2,1,3,2,0,1,0,3,14
Van der Kunbuurt,1,0,2,4,2,2,0,1,2,14
Czaar Peterbuurt,2,0,3,1,0,2,1,0,5,14
De Wester Quartier,4,2,1,2,1,1,0,0,3,14
De Wittenbuurt Noord,3,0,2,4,0,2,1,1,1,14
De Wittenbuurt Zuid,3,0,2,3,0,4,1,0,1,14
Paramariboplein e.o.,3,0,3,1,1,1,0,2,3,14
Weteringbuurt,2,1,3,3,2,3,0,0,0,14
Vondelparkbuurt Midden,3,0,2,4,0,1,1,1,2,14
Parooldriehoek,3,0,3,1,0,2,0,3,2,14
Rapenburg,3,0,0,2,0,1,0,1,6,13
Weesperzijde Midden/Zuid,3,0,4,0,0,1,0,3,2,13
Spaarndammerbuurt Zuidwest,1,0,1,2,0,1,2,2,4,13
Spaarndammerbuurt Noordoost,0,0,1,1,1,0,2,2,6,13
Spuistraat Zuid,3,0,1,1,2,2,0,1,3,13
Frederikspleinbuurt,3,1,0,2,4,1,0,0,2,13
Westerstaatsman,1,0,2,3,0,2,1,0,4,13
Waterloopleinbuurt,4,0,2,3,2,1,0,0,1,13
Amstelveldbuurt,3,0,2,1,1,3,0,0,2,12
Oosterparkbuurt Noordwest,2,1,2,3,0,3,0,0,1,12
Cremerbuurt Oost,2,0,3,3,0,1,1,0,2,12
Orteliusbuurt Midden,4,0,1,1,0,0,0,2,4,12
Marnixbuurt Midden,3,0,1,4,0,2,1,1,0,12
Uilenburg,6,0,1,1,0,1,0,2,1,12
Schinkelbuurt Zuid,1,1,2,2,0,0,0,2,3,11
Scheldebuurt Midden,0,0,5,1,0,3,0,1,1,11
Burgemeester Tellegenbuurt Oost,2,0,3,2,0,2,0,2,0,11
Bosleeuw,2,1,1,2,0,1,0,1,3,11
Marathonbuurt West,2,0,1,3,0,2,0,0,3,11
Cremerbuurt West,2,0,1,3,1,1,1,1,1,11
Hondecoeterbuurt,0,0,1,0,2,2,1,1,4,11
Westelijke eilanden,1,0,2,3,1,1,2,0,1,11
Rietlanden,1,0,2,3,0,1,0,1,3,11
Nieuwmarkt,2,1,1,3,1,1,1,0,1,11
Orteliusbuurt Noord,2,0,1,2,0,0,0,2,4,11
Bertelmanpleinbuurt,2,0,1,2,1,1,0,1,3,11
Willemsparkbuurt Noord,1,0,2,1,1,2,1,1,2,11
Oostenburg,1,0,3,1,0,1,1,0,4,11
Overhoeks,1,0,1,4,0,0,0,0,5,11
Valeriusbuurt West,2,0,1,2,1,1,0,1,3,11
Duivelseiland,0,1,1,2,3,1,1,1,0,10
Van Tuyllbuurt,2,0,1,2,0,2,0,0,3,10
Kazernebuurt,2,0,3,0,1,1,0,0,3,10
De Omval,0,0,1,4,2,2,0,0,1,10
Burgemeester Tellegenbuurt West,0,0,2,2,1,1,0,3,1,10
Oosterpark,2,1,2,2,1,2,0,0,0,10
Zuidwestkwadrant Indische buurt,1,1,1,2,0,2,1,0,2,10
Buyskade e.o.,1,0,0,3,1,1,0,1,2,9
Utrechtsebuurt Zuid,3,0,0,2,3,0,0,0,1,9
Kadijken,1,1,2,1,0,1,0,1,2,9
Erasmusparkbuurt Oost,3,1,1,2,0,0,0,2,0,9
Spaarndammerbuurt Midden,0,0,0,1,0,0,1,2,5,9
Westlandgrachtbuurt,2,1,3,1,0,1,0,0,1,9
Valeriusbuurt Oost,1,0,1,1,1,3,0,0,2,9
Bedrijvengebied Veelaan,2,0,0,2,1,2,0,0,2,9
